eta,k,mean_paoi,k_star,k_star_cf,unimodal
3.0,1,1.410314663389778,3,3,True
3.0,2,1.248192570863487,3,3,True
3.0,3,1.1777586195908003,3,3,True
3.0,4,1.4564704134531814,3,3,True
3.0,5,1.7592147238268279,3,3,True
3.0,6,2.073176697683509,3,3,True
3.0,7,2.3922001335971532,3,3,True
3.0,8,2.7185592470423137,3,3,True
3.0,9,3.0510884750494167,3,3,True
5.0,1,1.4101859347850572,5,5,True
5.0,2,1.2478719880669222,5,5,True
5.0,3,1.1692371885105677,5,5,True
5.0,4,1.123112635056019,5,5,True
5.0,5,1.1020916179657483,5,5,True
5.0,6,1.2732102430111434,5,5,True
5.0,7,1.458191515479616,5,5,True
5.0,8,1.6476294592829408,5,5,True
5.0,9,1.8487261126269243,5,5,True
