harvest,k,eta,p_e,p_e_ci,p_e_fluid,overflow_L,wc_residual,passed
poisson,1,0.5,0.4995787878787879,0.000797124276468291,0.5,0.0,5.555555555555869e-06,True
poisson,1,1.0,0.9918848484848486,0.0006047149413829059,1.0,0.007403282828282828,0.00011489898989899827,True
poisson,1,2.0,1.0,0.0,1.0,0.9988633838383839,2.525252525281685e-06,True
poisson,1,3.0,1.0,0.0,1.0,1.9985227272727273,6.661338147750939e-17,True
poisson,1,5.0,1.0,0.0,1.0,3.9980199494949495,8.881784197001253e-17,True
poisson,2,0.5,0.2497891414141414,0.00039905897798455796,0.25,0.0,5.050505050507859e-06,True
poisson,2,1.0,0.49965505050505044,0.0006170122778763171,0.5,0.0,8.080808080801472e-06,True
poisson,2,2.0,0.9915797979797979,0.00040572884717023934,1.0,0.015668939393939395,0.00011616161616163634,True
poisson,2,3.0,1.0,0.0,1.0,0.9985234848484849,2.7777777778625888e-06,True
poisson,2,5.0,1.0,0.0,1.0,2.998019696969697,2.525252526863753e-07,True
poisson,3,0.5,0.16652651515151515,0.0002655543802561836,0.16666666666666666,0.0,5.808080808089588e-06,True
poisson,3,1.0,0.3331027777777778,0.0004113463004189195,0.3333333333333333,0.0,5.808080808089588e-06,True
poisson,3,2.0,0.6662876262626263,0.0004673387748917864,0.6666666666666666,0.0,7.575757575783992e-06,True
poisson,3,3.0,0.9917138888888889,0.0002544810165974648,1.0,0.023447727272727273,0.00011313131313142044,True
poisson,3,5.0,1.0,0.0,1.0,1.9980199494949495,1.0101010102347985e-06,True
poisson,4,0.5,0.12489444444444445,0.00019966568713603467,0.125,0.0,6.0606060606094305e-06,True
poisson,4,1.0,0.24982727272727273,0.000308091437618198,0.25,0.0,8.080808080812573e-06,True
poisson,4,2.0,0.49971489898989896,0.0003504939886505363,0.5,0.0,8.33333333335462e-06,True
poisson,4,3.0,0.7496303030303031,0.000463317984610249,0.75,0.0,1.2121212121174451e-05,True
poisson,4,5.0,1.0,0.0,1.0,0.9980148989898989,9.595959595953829e-06,True
deterministic,2,1.0,0.5,0.0,0.5,0.0,0.0,True
deterministic,2,2.0,1.0,0.0,1.0,0.0,0.0,True
deterministic,2,3.0,1.0,0.0,1.0,1.0,0.0,True
deterministic,3,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,True
deterministic,3,2.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,True
deterministic,3,3.0,1.0,0.0,1.0,0.0,0.0,True
