deadline,ccdf_k1,ccdf_k2,ccdf_k4
1.0,1.0,1.0,1.0
1.05,0.85442,0.73057,0.53382
1.1,0.80444,0.6479,0.4198
1.15,0.75449,0.56975,0.32479
1.2,0.70461,0.49702,0.2473
1.25,0.65425,0.42933,0.18397
1.3,0.60426,0.36668,0.13372
1.35,0.55411,0.30882,0.09478
1.4,0.50408,0.25571,0.0652
1.45,0.45433,0.20794,0.04305
1.5,0.4046,0.16468,0.02712
1.55,0.35457,0.12647,0.01604
1.6,0.30521,0.09356,0.00868
1.65,0.25518,0.06516,0.00418
1.7,0.2055,0.04208,0.00172
1.75,0.15537,0.02393,0.00054
1.8,0.10531,0.01093,0.00011
1.85,0.05534,0.00297,1e-05
1.9,0.00499,1e-05,0.0
1.95,0.0,0.0,0.0
2.0,0.0,0.0,0.0
