eta,k_policy,k_opt,paoi_policy,paoi_opt,paoi_k1,paoi_k2,paoi_k3,paoi_k4
0.5,1,1,2.4057027782002205,2.4057027782002205,2.4057027782002205,4.243997526326259,6.161009218048995,8.11119162082015
1.0,1,1,1.417547140132703,1.417547140132703,1.417547140132703,2.2464221370429085,3.1665746078501136,4.12092881943101
1.5,1,1,1.4101073807702034,1.4101073807702034,1.4101073807702034,1.5801050429634818,2.1652780151291595,2.786859295788542
2.0,2,2,1.2556023074001559,1.2556023074001559,1.409739788664915,1.2556023074001559,1.668376468492957,2.1215267318608895
2.5,2,2,1.2480661156378963,1.2480661156378963,1.410006567028218,1.2480661156378963,1.368168665390978,1.7225351713240025
3.0,3,3,1.1768595094945098,1.1768595094945098,1.4101157850948811,1.247994033614997,1.1768595094945098,1.455253170225759
3.5,3,3,1.1691845653306934,1.1691845653306934,1.4098841633908292,1.248222623745078,1.1691845653306934,1.265114131292715
4.0,4,4,1.1313664881985872,1.1313664881985872,1.4100428815377133,1.2479958984407107,1.1690393322659098,1.1313664881985872
5.0,4,4,1.1231784761001982,1.1231784761001982,1.410272604152995,1.2479409294594286,1.1691577857691018,1.1231784761001982
6.0,4,4,1.1231576052727255,1.1231576052727255,1.4101979751108449,1.2478380088971566,1.1691670687683853,1.1231576052727255
8.0,4,4,1.1233527713144835,1.1233527713144835,1.4105962706767594,1.248028083843446,1.1692003883632571,1.1233527713144835
