eta,k,seeds,opaoi_mean,opaoi_ci,paoi_per_mean,paoi_per_ci,delay_mean,delivered_mean,admitted_mean,energy_per_update,success_rate
1.0,1,10,7492.7,65.7,7492.6,69.5,1388.0,460.0,460.0,1,1.0
1.0,2,10,12800.6,89.5,12767.7,77.9,2323.8,245.0,245.0,2,1.0
1.0,3,10,18316.7,139.1,18292.4,132.2,3243.8,163.0,163.0,3,1.0
2.0,1,10,7492.7,65.7,7492.6,69.5,1388.0,460.0,460.0,1,1.0
2.0,2,10,7448.9,71.7,7432.0,68.9,2339.9,460.0,460.0,2,1.0
2.0,3,10,9928.0,111.5,9884.8,102.8,3304.7,326.0,326.0,3,1.0
3.0,1,10,7492.7,65.7,7492.6,69.5,1388.0,460.0,460.0,1,1.0
3.0,2,10,7448.9,71.7,7432.0,68.9,2339.9,460.0,460.0,2,1.0
3.0,3,10,7433.2,56.1,7411.9,56.9,3306.8,460.0,460.0,3,1.0
6.0,1,10,7492.7,65.7,7492.6,69.5,1388.0,460.0,460.0,1,1.0
6.0,2,10,7448.9,71.7,7432.0,68.9,2339.9,460.0,460.0,2,1.0
6.0,3,10,7433.2,56.1,7411.9,56.9,3306.8,460.0,460.0,3,1.0
