k,gen_per_period,window_capacity_m,delivered,delay_mean,opaoi_mean
1,1.05,8,217.3,2530.8,8119.8
1,1.05,64,217.3,2440.8,8024.5
1,2.0,8,414.3,2573.5,6820.1
1,2.0,64,414.3,2558.7,6820.1
1,4.0,8,827.3,2806.0,6314.4
1,4.0,64,827.3,2739.4,6314.4
1,8.0,8,1654.7,2679.7,5727.9
1,8.0,64,1654.7,2311.9,5488.9
1,16.0,8,1668.3,300116.9,329576.3
1,16.0,64,3302.3,2503.2,5492.3
2,1.05,8,217.3,1538.7,6103.8
2,1.05,64,217.3,1501.4,6031.2
2,2.0,8,414.3,1589.6,3429.6
2,2.0,64,414.3,1582.2,3433.4
2,4.0,8,827.3,1662.2,2399.0
2,4.0,64,827.3,1627.0,2340.0
2,8.0,8,1654.7,1619.3,2034.7
2,8.0,64,1654.7,1503.1,1841.9
2,16.0,8,2500.3,150425.0,164871.1
2,16.0,64,3302.3,1538.2,1704.0
