eta,k,seeds,paoi_mean,paoi_ci,delivered_mean
0.6,1,5,10094.7,6.8,295.0
0.6,2,5,19685.4,3.4,147.0
0.6,3,5,29261.0,11.8,98.0
1.0,1,5,6663.0,1.3,460.0
1.0,2,5,12022.5,9.7,245.0
1.0,3,5,17758.8,19.0,163.0
1.5,1,5,6663.0,1.3,460.0
1.5,2,5,8181.5,8.9,367.0
1.5,3,5,12021.0,10.0,244.2
2.0,1,5,6663.0,1.3,460.0
2.0,2,5,6663.0,1.3,460.0
2.0,3,5,9167.4,6.2,326.0
3.0,1,5,6663.0,1.3,460.0
3.0,2,5,6663.0,1.3,460.0
3.0,3,5,6663.0,1.3,460.0
6.0,1,5,6663.0,1.3,460.0
6.0,2,5,6663.0,1.3,460.0
6.0,3,5,6663.0,1.3,460.0
