eta,k,seed,paoi,updates_delivered,copies_delivered
0.6,1,1,10106.4,295,295
0.6,1,2,10096.2,295,295
0.6,1,3,10094.2,295,295
0.6,1,4,10085.1,295,295
0.6,1,5,10091.6,295,295
0.6,2,1,19686.8,147,294
0.6,2,2,19682.9,147,294
0.6,2,3,19691.6,147,294
0.6,2,4,19682.6,147,294
0.6,2,5,19683.0,147,294
0.6,3,1,29244.9,98,294
0.6,3,2,29274.7,98,294
0.6,3,3,29272.6,98,294
0.6,3,4,29249.3,98,294
0.6,3,5,29263.4,98,294
1.0,1,1,6665.1,460,460
1.0,1,2,6663.3,460,460
1.0,1,3,6660.8,460,460
1.0,1,4,6662.7,460,460
1.0,1,5,6663.1,460,460
1.0,2,1,12003.0,245,490
1.0,2,2,12026.9,245,490
1.0,2,3,12024.8,245,490
1.0,2,4,12027.6,245,490
1.0,2,5,12030.2,245,490
1.0,3,1,17724.2,163,489
1.0,3,2,17753.8,163,489
1.0,3,3,17781.0,163,489
1.0,3,4,17765.5,163,489
1.0,3,5,17769.7,163,489
1.5,1,1,6665.1,460,460
1.5,1,2,6663.3,460,460
1.5,1,3,6660.8,460,460
1.5,1,4,6662.7,460,460
1.5,1,5,6663.1,460,460
1.5,2,1,8199.0,367,734
1.5,2,2,8176.9,367,734
1.5,2,3,8176.8,367,734
1.5,2,4,8181.5,367,734
1.5,2,5,8173.5,367,734
1.5,3,1,12000.7,245,735
1.5,3,2,12028.1,244,732
1.5,3,3,12025.5,244,732
1.5,3,4,12026.3,244,732
1.5,3,5,12024.4,244,732
2.0,1,1,6665.1,460,460
2.0,1,2,6663.3,460,460
2.0,1,3,6660.8,460,460
2.0,1,4,6662.7,460,460
2.0,1,5,6663.1,460,460
2.0,2,1,6665.1,460,920
2.0,2,2,6663.3,460,920
2.0,2,3,6660.8,460,920
2.0,2,4,6662.7,460,920
2.0,2,5,6663.1,460,920
2.0,3,1,9173.8,326,978
2.0,3,2,9159.3,326,978
2.0,3,3,9175.8,326,978
2.0,3,4,9163.3,326,978
2.0,3,5,9164.7,326,978
3.0,1,1,6665.1,460,460
3.0,1,2,6663.3,460,460
3.0,1,3,6660.8,460,460
3.0,1,4,6662.7,460,460
3.0,1,5,6663.1,460,460
3.0,2,1,6665.1,460,920
3.0,2,2,6663.3,460,920
3.0,2,3,6660.8,460,920
3.0,2,4,6662.7,460,920
3.0,2,5,6663.1,460,920
3.0,3,1,6665.1,460,1380
3.0,3,2,6663.3,460,1380
3.0,3,3,6660.8,460,1380
3.0,3,4,6662.7,460,1380
3.0,3,5,6663.1,460,1380
6.0,1,1,6665.1,460,460
6.0,1,2,6663.3,460,460
6.0,1,3,6660.8,460,460
6.0,1,4,6662.7,460,460
6.0,1,5,6663.1,460,460
6.0,2,1,6665.1,460,920
6.0,2,2,6663.3,460,920
6.0,2,3,6660.8,460,920
6.0,2,4,6662.7,460,920
6.0,2,5,6663.1,460,920
6.0,3,1,6665.1,460,1380
6.0,3,2,6663.3,460,1380
6.0,3,3,6660.8,460,1380
6.0,3,4,6662.7,460,1380
6.0,3,5,6663.1,460,1380
