eta,k,seed,opaoi,paoi_per,delay_mean,updates_delivered,copies_delivered,admitted,skipped
1.0,1,1,7616.9,7623.8,1500.78,460,460,460,0
1.0,1,2,7460.7,7446.1,1377.44,460,460,460,0
1.0,1,3,7368.5,7374.6,1252.01,460,460,460,0
1.0,1,4,7577.7,7566.2,1444.72,460,460,460,0
1.0,1,5,7581.9,7592.1,1480.67,460,460,460,0
1.0,2,1,12526.9,12498.2,2176.49,245,490,245,215
1.0,2,2,12879.4,12879.4,2438.10,245,490,245,215
1.0,2,3,12665.2,12663.0,2268.18,245,490,245,215
1.0,2,4,12845.1,12845.1,2384.04,245,490,245,215
1.0,2,5,12845.2,12845.2,2356.73,245,490,245,215
1.0,3,1,18104.1,18104.1,3223.68,163,489,163,297
1.0,3,2,18275.0,18275.0,3223.87,163,489,163,297
1.0,3,3,18544.1,18544.1,3226.81,163,489,163,297
1.0,3,4,18620.6,18530.0,3420.94,163,489,163,297
1.0,3,5,17975.6,17975.6,3165.01,163,489,163,297
2.0,1,1,7616.9,7623.8,1500.78,460,460,460,0
2.0,1,2,7460.7,7446.1,1377.44,460,460,460,0
2.0,1,3,7368.5,7374.6,1252.01,460,460,460,0
2.0,1,4,7577.7,7566.2,1444.72,460,460,460,0
2.0,1,5,7581.9,7592.1,1480.67,460,460,460,0
2.0,2,1,7406.6,7396.1,2354.08,460,920,460,0
2.0,2,2,7471.9,7462.5,2393.67,460,920,460,0
2.0,2,3,7465.0,7442.0,2293.83,460,920,460,0
2.0,2,4,7419.5,7394.8,2300.19,460,920,460,0
2.0,2,5,7230.3,7220.5,2238.86,460,920,460,0
2.0,3,1,9902.6,9883.4,3279.32,326,978,326,134
2.0,3,2,9990.3,9961.0,3282.06,326,978,326,134
2.0,3,3,10147.0,10102.2,3488.38,326,978,326,134
2.0,3,4,9890.3,9872.2,3327.91,326,978,326,134
2.0,3,5,10292.1,10189.9,3470.42,326,978,326,134
3.0,1,1,7616.9,7623.8,1500.78,460,460,460,0
3.0,1,2,7460.7,7446.1,1377.44,460,460,460,0
3.0,1,3,7368.5,7374.6,1252.01,460,460,460,0
3.0,1,4,7577.7,7566.2,1444.72,460,460,460,0
3.0,1,5,7581.9,7592.1,1480.67,460,460,460,0
3.0,2,1,7406.6,7396.1,2354.08,460,920,460,0
3.0,2,2,7471.9,7462.5,2393.67,460,920,460,0
3.0,2,3,7465.0,7442.0,2293.83,460,920,460,0
3.0,2,4,7419.5,7394.8,2300.19,460,920,460,0
3.0,2,5,7230.3,7220.5,2238.86,460,920,460,0
3.0,3,1,7429.4,7395.2,3323.92,460,1380,460,0
3.0,3,2,7584.5,7563.2,3340.23,460,1380,460,0
3.0,3,3,7610.0,7592.9,3389.08,460,1380,460,0
3.0,3,4,7412.9,7385.4,3259.79,460,1380,460,0
3.0,3,5,7362.8,7344.8,3177.72,460,1380,460,0
6.0,1,1,7616.9,7623.8,1500.78,460,460,460,0
6.0,1,2,7460.7,7446.1,1377.44,460,460,460,0
6.0,1,3,7368.5,7374.6,1252.01,460,460,460,0
6.0,1,4,7577.7,7566.2,1444.72,460,460,460,0
6.0,1,5,7581.9,7592.1,1480.67,460,460,460,0
6.0,2,1,7406.6,7396.1,2354.08,460,920,460,0
6.0,2,2,7471.9,7462.5,2393.67,460,920,460,0
6.0,2,3,7465.0,7442.0,2293.83,460,920,460,0
6.0,2,4,7419.5,7394.8,2300.19,460,920,460,0
6.0,2,5,7230.3,7220.5,2238.86,460,920,460,0
6.0,3,1,7429.4,7395.2,3323.92,460,1380,460,0
6.0,3,2,7584.5,7563.2,3340.23,460,1380,460,0
6.0,3,3,7610.0,7592.9,3389.08,460,1380,460,0
6.0,3,4,7412.9,7385.4,3259.79,460,1380,460,0
6.0,3,5,7362.8,7344.8,3177.72,460,1380,460,0
1.0,1,6,7441.8,7438.6,1365.24,460,460,460,0
1.0,1,7,7462.7,7465.6,1355.93,460,460,460,0
1.0,1,8,7378.4,7364.0,1259.25,460,460,460,0
1.0,1,9,7384.4,7382.7,1302.63,460,460,460,0
1.0,1,10,7653.7,7672.3,1541.16,460,460,460,0
1.0,2,6,12762.9,12717.8,2347.73,245,490,245,215
1.0,2,7,13009.8,12910.5,2365.94,245,490,245,215
1.0,2,8,12967.6,12843.4,2342.91,245,490,245,215
1.0,2,9,12694.9,12694.9,2281.27,245,490,245,215
1.0,2,10,12809.4,12779.7,2277.10,245,490,245,215
1.0,3,6,18164.5,18072.4,3098.28,163,489,163,297
1.0,3,7,18143.3,18143.3,3129.29,163,489,163,297
1.0,3,8,18581.4,18521.5,3279.62,163,489,163,297
1.0,3,9,18292.2,18292.2,3368.24,163,489,163,297
1.0,3,10,18466.1,18466.1,3302.59,163,489,163,297
2.0,1,6,7441.8,7438.6,1365.24,460,460,460,0
2.0,1,7,7462.7,7465.6,1355.93,460,460,460,0
2.0,1,8,7378.4,7364.0,1259.25,460,460,460,0
