k,gen_per_period,window_capacity_m,seed,generated,delivered,copies,delay_mean,opaoi
1,1.05,64,1,217,217,217,2498.47,8081.5
1,1.05,64,2,218,218,218,2319.80,7901.4
1,1.05,64,3,217,217,217,2504.28,8090.6
1,2,64,1,414,414,414,1322.45,5512.9
1,2,64,2,414,414,414,2611.05,6909.7
1,2,64,3,415,415,415,3742.59,8037.8
1,4,64,1,828,828,828,3136.11,6711.1
1,4,64,2,826,826,826,2628.31,6203.3
1,4,64,3,828,828,828,2453.71,6028.7
1,8,64,1,1657,1657,1657,2177.58,5334.9
1,8,64,2,1652,1652,1652,2520.34,5725.2
1,8,64,3,1655,1655,1655,2237.66,5406.5
1,16,64,1,3305,3305,3305,2516.03,5507.0
1,16,64,2,3302,3302,3302,2562.52,5555.7
1,16,64,3,3300,3300,3300,2431.01,5414.2
2,1.05,64,1,217,217,434,1548.66,6073.0
2,1.05,64,2,218,218,436,1426.81,5966.0
2,1.05,64,3,217,217,434,1528.59,6054.6
2,2,64,1,414,414,828,1266.67,3233.5
2,2,64,2,414,414,828,1653.37,3481.3
2,2,64,3,415,415,830,1826.62,3585.5
2,4,64,1,828,828,1656,1697.94,2418.9
2,4,64,2,826,826,1652,1668.15,2387.4
2,4,64,3,828,828,1656,1515.04,2213.6
2,8,64,1,1657,1657,3314,1437.66,1767.3
2,8,64,2,1652,1652,3304,1571.39,1919.5
2,8,64,3,1655,1655,3310,1500.35,1838.9
2,16,64,1,3305,3305,6610,1551.40,1718.5
2,16,64,2,3302,3302,6604,1487.66,1648.1
2,16,64,3,3300,3300,6600,1575.62,1745.4
1,1.05,8,1,217,217,217,2498.47,8081.5
1,1.05,8,2,218,218,218,2589.64,8187.4
1,1.05,8,3,217,217,217,2504.28,8090.6
1,2,8,1,414,414,414,1322.45,5512.9
1,2,8,2,414,414,414,2633.30,6909.7
1,2,8,3,415,415,415,3764.79,8037.8
1,4,8,1,828,828,828,3202.71,6711.1
1,4,8,2,826,826,826,2694.91,6203.3
1,4,8,3,828,828,828,2520.31,6028.7
1,8,8,1,1657,1657,1657,3005.39,6051.9
1,8,8,2,1652,1652,1652,2675.82,5725.2
1,8,8,3,1655,1655,1655,2357.87,5406.5
1,16,8,1,3305,1671,1671,299654.59,329591.0
1,16,8,2,3302,1668,1668,300238.98,329639.7
1,16,8,3,3300,1666,1666,300457.05,329498.2
2,1.05,8,1,217,217,434,1548.66,6073.0
2,1.05,8,2,218,218,436,1538.79,6183.7
2,1.05,8,3,217,217,434,1528.59,6054.6
2,2,8,1,414,414,828,1266.67,3233.5
2,2,8,2,414,414,828,1664.44,3327.2
2,2,8,3,415,415,830,1837.72,3728.2
2,4,8,1,828,828,1656,1736.78,2478.2
2,4,8,2,826,826,1652,1707.02,2446.7
2,4,8,3,828,828,1656,1542.83,2272.1
2,8,8,1,1657,1657,3314,1622.91,2108.4
2,8,8,2,1652,1652,3304,1655.15,2038.1
2,8,8,3,1655,1655,3310,1579.71,1957.7
2,16,8,1,3305,2503,5001,150489.29,165065.3
2,16,8,2,3302,2500,4996,150508.40,164934.5
2,16,8,3,3300,2498,4993,150277.27,164613.5
