eta,strategy,seed,paoi,recv
0.60,k1,1,50990,360
0.60,cgr2,1,7966,411
0.60,k1,2,51911,364
0.60,cgr2,2,8241,372
0.60,k1,3,50770,372
0.60,cgr2,3,7370,446
0.60,k1,4,49684,426
0.60,cgr2,4,8100,381
0.60,k1,5,51410,393
0.60,cgr2,5,8215,363
0.60,k1,6,49997,378
0.60,cgr2,6,7932,403
0.60,k1,7,51569,380
0.60,cgr2,7,7693,418
0.60,k1,8,52061,388
0.60,cgr2,8,8146,388
0.60,k1,9,49768,419
0.60,cgr2,9,8148,371
0.60,k1,10,51563,403
0.60,cgr2,10,8074,394
0.99,k1,1,48741,487
0.99,cgr2,1,7563,480
0.99,k1,2,49722,480
0.99,cgr2,2,7527,465
0.99,k1,3,49773,446
0.99,cgr2,3,8058,424
0.99,k1,4,51065,453
0.99,cgr2,4,7694,475
0.99,k1,5,51488,421
0.99,cgr2,5,7859,436
0.99,k1,6,50325,469
0.99,cgr2,6,7898,441
0.99,k1,7,50892,457
0.99,cgr2,7,7974,429
0.99,k1,8,51925,424
0.99,cgr2,8,7807,431
0.99,k1,9,50683,412
0.99,cgr2,9,7763,431
0.99,k1,10,50750,434
0.99,cgr2,10,7943,427
1.50,k1,1,48881,493
1.50,cgr2,1,7653,524
1.50,k1,2,50422,505
1.50,cgr2,2,8169,478
1.50,k1,3,48931,532
1.50,cgr2,3,7477,533
1.50,k1,4,48994,499
1.50,cgr2,4,7751,524
1.50,k1,5,52302,414
1.50,cgr2,5,7262,549
1.50,k1,6,47955,566
1.50,cgr2,6,7342,551
1.50,k1,7,48470,556
1.50,cgr2,7,7746,522
1.50,k1,8,50083,506
1.50,cgr2,8,8115,467
1.50,k1,9,50763,543
1.50,cgr2,9,7430,539
1.50,k1,10,48527,508
1.50,cgr2,10,7558,538
2.01,k1,1,49229,499
2.01,cgr2,1,7299,619
2.01,k1,2,49142,590
2.01,cgr2,2,7634,582
2.01,k1,3,49041,507
2.01,cgr2,3,7171,657
2.01,k1,4,48589,553
2.01,cgr2,4,7498,587
2.01,k1,5,48695,604
2.01,cgr2,5,7610,551
2.01,k1,6,47193,621
2.01,cgr2,6,7547,603
2.01,k1,7,49340,575
2.01,cgr2,7,7870,530
2.01,k1,8,49678,583
2.01,cgr2,8,7409,583
2.01,k1,9,47960,632
2.01,cgr2,9,7750,539
2.01,k1,10,50269,596
2.01,cgr2,10,7947,548
3.00,k1,1,45664,698
3.00,cgr2,1,7104,728
3.00,k1,2,45196,704
3.00,cgr2,2,7539,663
3.00,k1,3,46849,680
3.00,cgr2,3,7050,748
3.00,k1,4,41295,649
3.00,cgr2,4,7270,692
3.00,k1,5,47612,630
3.00,cgr2,5,6928,754
3.00,k1,6,44184,699
3.00,cgr2,6,7142,709
3.00,k1,7,48391,632
3.00,cgr2,7,7259,681
3.00,k1,8,48543,703
3.00,cgr2,8,7110,666
3.00,k1,9,49244,667
3.00,cgr2,9,7166,690
3.00,k1,10,47769,603
3.00,cgr2,10,7094,717
6.00,k1,1,37941,877
6.00,cgr2,1,6526,959
6.00,k1,2,45298,761
6.00,cgr2,2,6793,885
6.00,k1,3,35920,779
6.00,cgr2,3,6655,905
6.00,k1,4,42873,845
6.00,cgr2,4,7166,839
6.00,k1,5,41590,801
6.00,cgr2,5,6856,838
6.00,k1,6,31354,911
6.00,cgr2,6,6327,1004
6.00,k1,7,46716,795
6.00,cgr2,7,6890,885
6.00,k1,8,37217,842
6.00,cgr2,8,7173,825
6.00,k1,9,41430,870
6.00,cgr2,9,6798,808
6.00,k1,10,41550,871
6.00,cgr2,10,7255,816
