eta,strategy,seed,deliv,paoi
0.60,k1,1,360,50990
0.60,k2,1,318,115678
0.60,k1,2,364,51911
0.60,k2,2,304,127622
0.60,k1,3,372,50770
0.60,k2,3,309,123130
0.60,k1,4,426,49684
0.60,k2,4,300,121013
0.60,k1,5,393,51410
0.60,k2,5,317,120473
0.60,k1,6,378,49997
0.60,k2,6,315,118191
0.60,k1,7,380,51569
0.60,k2,7,269,127321
0.60,k1,8,388,52061
0.60,k2,8,315,118259
0.60,k1,9,419,49768
0.60,k2,9,317,125281
0.60,k1,10,403,51563
0.60,k2,10,295,129125
0.60,k1,11,415,49072
0.60,k2,11,310,118918
0.60,k1,12,355,52540
0.60,k2,12,269,146906
0.99,k1,1,487,48741
0.99,k2,1,356,112985
0.99,k1,2,480,49722
0.99,k2,2,322,122439
0.99,k1,3,446,49773
0.99,k2,3,367,111311
0.99,k1,4,453,51065
0.99,k2,4,387,110568
0.99,k1,5,421,51488
0.99,k2,5,330,121432
0.99,k1,6,469,50325
0.99,k2,6,353,118605
0.99,k1,7,457,50892
0.99,k2,7,306,122721
0.99,k1,8,424,51925
0.99,k2,8,347,109424
0.99,k1,9,412,50683
0.99,k2,9,362,108752
0.99,k1,10,434,50750
0.99,k2,10,369,110249
0.99,k1,11,473,50787
0.99,k2,11,369,110650
0.99,k1,12,449,50066
0.99,k2,12,343,119213
1.50,k1,1,493,48881
1.50,k2,1,458,91723
1.50,k1,2,505,50422
1.50,k2,2,446,104819
1.50,k1,3,532,48931
1.50,k2,3,410,104138
1.50,k1,4,499,48994
1.50,k2,4,397,106978
1.50,k1,5,414,52302
1.50,k2,5,389,113208
1.50,k1,6,566,47955
1.50,k2,6,431,91676
1.50,k1,7,556,48470
1.50,k2,7,404,109661
1.50,k1,8,506,50083
1.50,k2,8,394,104605
1.50,k1,9,543,50763
1.50,k2,9,472,103451
1.50,k1,10,508,48527
1.50,k2,10,436,104038
1.50,k1,11,543,47550
1.50,k2,11,406,107711
1.50,k1,12,471,51478
1.50,k2,12,426,102649
2.01,k1,1,499,49229
2.01,k2,1,515,91186
2.01,k1,2,590,49142
2.01,k2,2,505,100067
2.01,k1,3,507,49041
2.01,k2,3,513,82711
2.01,k1,4,553,48589
2.01,k2,4,489,104488
2.01,k1,5,604,48695
2.01,k2,5,523,94141
2.01,k1,6,621,47193
2.01,k2,6,525,79551
2.01,k1,7,575,49340
2.01,k2,7,455,92843
2.01,k1,8,583,49678
2.01,k2,8,544,81834
2.01,k1,9,632,47960
2.01,k2,9,507,88998
2.01,k1,10,596,50269
2.01,k2,10,486,93787
2.01,k1,11,546,46999
2.01,k2,11,482,86188
2.01,k1,12,575,47422
2.01,k2,12,527,95375
3.00,k1,1,698,45664
3.00,k2,1,530,94780
3.00,k1,2,704,45196
3.00,k2,2,518,82444
3.00,k1,3,680,46849
3.00,k2,3,566,88604
3.00,k1,4,649,41295
3.00,k2,4,636,65278
3.00,k1,5,630,47612
3.00,k2,5,528,90509
3.00,k1,6,699,44184
3.00,k2,6,575,80497
3.00,k1,7,632,48391
3.00,k2,7,587,86168
3.00,k1,8,703,48543
3.00,k2,8,565,84986
3.00,k1,9,667,49244
3.00,k2,9,524,98864
3.00,k1,10,603,47769
3.00,k2,10,589,75755
3.00,k1,11,691,45187
3.00,k2,11,612,64638
3.00,k1,12,655,48056
3.00,k2,12,609,79200
6.00,k1,1,877,37941
6.00,k2,1,811,32458
6.00,k1,2,761,45298
6.00,k2,2,703,53768
6.00,k1,3,779,35920
6.00,k2,3,775,46727
6.00,k1,4,845,42873
6.00,k2,4,752,56665
6.00,k1,5,801,41590
6.00,k2,5,808,36430
6.00,k1,6,911,31354
6.00,k2,6,735,44564
6.00,k1,7,795,46716
6.00,k2,7,762,50230
6.00,k1,8,842,37217
6.00,k2,8,793,51608
6.00,k1,9,870,41430
6.00,k2,9,774,34486
6.00,k1,10,871,41550
6.00,k2,10,717,60031
6.00,k1,11,883,34492
6.00,k2,11,782,41991
6.00,k1,12,766,45853
6.00,k2,12,775,40979
